id,collection,datetime,title,country_codes,hazard_codes,impact_category,impact_type,impact_value,impact_unit,estimate_type
emdat-impact-2008-0050-TJK-total_affected,emdat-impacts,2008-01-01T00:00:00Z,Severe winter conditions in Tajikistan - total_affected,TJK,nat-met-ext-sev,people,affected_total,2000000.0,count,primary
emdat-impact-2008-0050-TJK-no_affected,emdat-impacts,2008-01-01T00:00:00Z,Severe winter conditions in Tajikistan - no_affected,TJK,nat-met-ext-sev,people,affected_total,2000000.0,count,primary
emdat-impact-2008-0007-HUN-total_deaths,emdat-impacts,2008-01-01T00:00:00Z,Cold wave in Hungary - total_deaths,HUN,nat-met-ext-col,people,death,17.0,count,primary
emdat-impact-2008-0007-HUN-total_affected,emdat-impacts,2008-01-01T00:00:00Z,Cold wave in Hungary - total_affected,HUN,nat-met-ext-col,people,affected_total,500.0,count,primary
emdat-impact-2008-0007-HUN-no_injured,emdat-impacts,2008-01-01T00:00:00Z,Cold wave in Hungary - no_injured,HUN,nat-met-ext-col,people,injured,500.0,count,primary
emdat-impact-2007-0673-ROU-total_deaths,emdat-impacts,2007-12-10T00:00:00Z,Cold wave in Romania - total_deaths,ROU,nat-met-ext-col,people,death,38.0,count,primary
emdat-impact-2009-0571-UKR-total_deaths,emdat-impacts,2009-12-21T00:00:00Z,Cold wave in Ukraine - total_deaths,UKR,nat-met-ext-col,people,death,27.0,count,primary
emdat-impact-2009-0571-ROU-total_deaths,emdat-impacts,2009-12-20T00:00:00Z,Cold wave in Romania - total_deaths,ROU,nat-met-ext-col,people,death,11.0,count,primary
emdat-impact-2009-0571-POL-total_deaths,emdat-impacts,2009-11-01T00:00:00Z,Cold wave in Poland - total_deaths,POL,nat-met-ext-col,people,death,298.0,count,primary
emdat-impact-2009-0030-SRB-total_affected,emdat-impacts,2009-01-15T00:00:00Z,Severe winter conditions in Serbia - total_affected,SRB,nat-met-ext-sev,people,affected_total,500.0,count,primary
emdat-impact-2009-0030-SRB-no_injured,emdat-impacts,2009-01-15T00:00:00Z,Severe winter conditions in Serbia - no_injured,SRB,nat-met-ext-sev,people,injured,500.0,count,primary
emdat-impact-2009-0030-BIH-total_deaths,emdat-impacts,2009-01-01T00:00:00Z,Severe winter conditions in Bosnia and Herzegovina - total_deaths,BIH,nat-met-ext-sev,people,death,1.0,count,primary
emdat-impact-2009-0030-BIH-total_affected,emdat-impacts,2009-01-01T00:00:00Z,Severe winter conditions in Bosnia and Herzegovina - total_affected,BIH,nat-met-ext-sev,people,affected_total,10000.0,count,primary
emdat-impact-2009-0030-BIH-no_affected,emdat-impacts,2009-01-01T00:00:00Z,Severe winter conditions in Bosnia and Herzegovina - no_affected,BIH,nat-met-ext-sev,people,affected_total,10000.0,count,primary
emdat-impact-2008-0633-UKR-total_deaths,emdat-impacts,2009-01-01T00:00:00Z,Cold wave in Ukraine - total_deaths,UKR,nat-met-ext-col,people,death,5.0,count,primary
emdat-impact-2008-0633-ROU-total_deaths,emdat-impacts,2009-01-01T00:00:00Z,Cold wave in Romania - total_deaths,ROU,nat-met-ext-col,people,death,43.0,count,primary
emdat-impact-2008-0633-ROU-total_affected,emdat-impacts,2009-01-01T00:00:00Z,Cold wave in Romania - total_affected,ROU,nat-met-ext-col,people,affected_total,20.0,count,primary
emdat-impact-2008-0633-ROU-no_injured,emdat-impacts,2009-01-01T00:00:00Z,Cold wave in Romania - no_injured,ROU,nat-met-ext-col,people,injured,20.0,count,primary
emdat-impact-2008-0633-POL-total_deaths,emdat-impacts,2008-11-01T00:00:00Z,Cold wave in Poland - total_deaths,POL,nat-met-ext-col,people,death,82.0,count,primary
desinventar-impact-1847-deaths,desinventar-impacts,2010-05-21T00:00:00Z,OTHER in liqeni i Shkodres on 2010-05-21 00:00:00+00:00 - deaths,ALB,OT,people,death,2.0,count,primary
emdat-impact-2010-0615-RUS-total_deaths,emdat-impacts,2010-12-03T00:00:00Z,Cold wave in Russian Federation - total_deaths,RUS,nat-met-ext-col,people,death,11.0,count,primary
emdat-impact-2010-0615-RUS-total_affected,emdat-impacts,2010-12-03T00:00:00Z,Cold wave in Russian Federation - total_affected,RUS,nat-met-ext-col,people,affected_total,11.0,count,primary
emdat-impact-2010-0615-RUS-no_injured,emdat-impacts,2010-12-03T00:00:00Z,Cold wave in Russian Federation - no_injured,RUS,nat-met-ext-col,people,injured,11.0,count,primary
emdat-impact-2010-0615-LTU-total_deaths,emdat-impacts,2010-11-27T00:00:00Z,Cold wave in Lithuania - total_deaths,LTU,nat-met-ext-col,people,death,5.0,count,primary
emdat-impact-2010-0615-SVK-total_deaths,emdat-impacts,2010-11-01T00:00:00Z,Cold wave in Slovakia - total_deaths,SVK,nat-met-ext-col,people,death,122.0,count,primary
emdat-impact-2010-0615-POL-total_deaths,emdat-impacts,2010-11-01T00:00:00Z,Cold wave in Poland - total_deaths,POL,nat-met-ext-col,people,death,200.0,count,primary
emdat-impact-2010-0050-SRB-total_deaths,emdat-impacts,2010-01-28T00:00:00Z,Cold wave in Serbia - total_deaths,SRB,nat-met-ext-col,people,death,3.0,count,primary
emdat-impact-2010-0050-ROU-total_deaths,emdat-impacts,2010-01-22T00:00:00Z,Cold wave in Romania - total_deaths,ROU,nat-met-ext-col,people,death,52.0,count,primary
emdat-impact-2010-0050-RUS-total_deaths,emdat-impacts,2010-01-01T00:00:00Z,Cold wave in Russian Federation - total_deaths,RUS,nat-met-ext-col,people,death,13.0,count,primary
emdat-impact-2009-0571-POL-total_deaths,emdat-impacts,2009-11-01T00:00:00Z,Cold wave in Poland - total_deaths,POL,nat-met-ext-col,people,death,298.0,count,primary
emdat-impact-2011-0628-POL-total_deaths,emdat-impacts,2011-11-01T00:00:00Z,Cold wave in Poland - total_deaths,POL,nat-met-ext-col,people,death,26.0,count,primary
emdat-impact-2010-0615-SVK-total_deaths,emdat-impacts,2010-11-01T00:00:00Z,Cold wave in Slovakia - total_deaths,SVK,nat-met-ext-col,people,death,122.0,count,primary
emdat-impact-2010-0615-POL-total_deaths,emdat-impacts,2010-11-01T00:00:00Z,Cold wave in Poland - total_deaths,POL,nat-met-ext-col,people,death,200.0,count,primary
desinventar-impact-387-lost_cattle,desinventar-impacts,2012-02-20T00:00:00Z,COLD WAVE in None on 2012-02-20 00:00:00+00:00 - lost_cattle,ALB,"MH0049, nat-met-ext-col",cattle,missing,14.0,count,primary
desinventar-impact-386-lost_cattle,desinventar-impacts,2012-02-20T00:00:00Z,COLD WAVE in None on 2012-02-20 00:00:00+00:00 - lost_cattle,ALB,"MH0049, nat-met-ext-col",cattle,missing,276.0,count,primary
desinventar-impact-385-lost_cattle,desinventar-impacts,2012-02-20T00:00:00Z,COLD WAVE in None on 2012-02-20 00:00:00+00:00 - lost_cattle,ALB,"MH0049, nat-met-ext-col",cattle,missing,418.0,count,primary
desinventar-impact-384-lost_cattle,desinventar-impacts,2012-02-20T00:00:00Z,COLD WAVE in None on 2012-02-20 00:00:00+00:00 - lost_cattle,ALB,"MH0049, nat-met-ext-col",cattle,missing,841.0,count,primary
emdat-impact-2012-0609-KGZ-total_deaths,emdat-impacts,2012-12-18T00:00:00Z,Cold wave in Kyrgyzstan - total_deaths,KGZ,nat-met-ext-col,people,death,16.0,count,primary
emdat-impact-2012-0609-KGZ-total_affected,emdat-impacts,2012-12-18T00:00:00Z,Cold wave in Kyrgyzstan - total_affected,KGZ,nat-met-ext-col,people,affected_total,50.0,count,primary
emdat-impact-2012-0609-KGZ-no_injured,emdat-impacts,2012-12-18T00:00:00Z,Cold wave in Kyrgyzstan - no_injured,KGZ,nat-met-ext-col,people,injured,50.0,count,primary
emdat-impact-2012-0532-KAZ-total_affected,emdat-impacts,2012-12-18T00:00:00Z,Severe winter conditions in Kazakhstan - total_affected,KAZ,nat-met-ext-sev,people,affected_total,5000.0,count,primary
emdat-impact-2012-0532-KAZ-no_affected,emdat-impacts,2012-12-18T00:00:00Z,Severe winter conditions in Kazakhstan - no_affected,KAZ,nat-met-ext-sev,people,affected_total,5000.0,count,primary
emdat-impact-2012-0485-RUS-total_deaths,emdat-impacts,2012-12-14T00:00:00Z,Cold wave in Russian Federation - total_deaths,RUS,nat-met-ext-col,people,death,170.0,count,primary
emdat-impact-2012-0485-RUS-total_affected,emdat-impacts,2012-12-14T00:00:00Z,Cold wave in Russian Federation - total_affected,RUS,nat-met-ext-col,people,affected_total,1594.0,count,primary
emdat-impact-2012-0485-RUS-no_injured,emdat-impacts,2012-12-14T00:00:00Z,Cold wave in Russian Federation - no_injured,RUS,nat-met-ext-col,people,injured,1594.0,count,primary
emdat-impact-2012-0485-UKR-total_deaths,emdat-impacts,2012-12-07T00:00:00Z,Cold wave in Ukraine - total_deaths,UKR,nat-met-ext-col,people,death,83.0,count,primary
emdat-impact-2012-0485-UKR-total_affected,emdat-impacts,2012-12-07T00:00:00Z,Cold wave in Ukraine - total_affected,UKR,nat-met-ext-col,people,affected_total,526.0,count,primary
emdat-impact-2012-0485-UKR-no_injured,emdat-impacts,2012-12-07T00:00:00Z,Cold wave in Ukraine - no_injured,UKR,nat-met-ext-col,people,injured,526.0,count,primary
emdat-impact-2012-0485-SRB-total_deaths,emdat-impacts,2012-12-07T00:00:00Z,Cold wave in Serbia - total_deaths,SRB,nat-met-ext-col,people,death,6.0,count,primary
emdat-impact-2012-0485-LTU-total_deaths,emdat-impacts,2012-12-07T00:00:00Z,Cold wave in Lithuania - total_deaths,LTU,nat-met-ext-col,people,death,6.0,count,primary
emdat-impact-2012-0485-POL-total_deaths,emdat-impacts,2012-12-01T00:00:00Z,Cold wave in Poland - total_deaths,POL,nat-met-ext-col,people,death,177.0,count,primary
emdat-impact-2012-0413-POL-total_deaths,emdat-impacts,2012-10-28T00:00:00Z,Cold wave in Poland - total_deaths,POL,nat-met-ext-col,people,death,14.0,count,primary
emdat-impact-2012-0019-BIH-total_deaths,emdat-impacts,2012-02-02T00:00:00Z,Cold wave in Bosnia and Herzegovina - total_deaths,BIH,nat-met-ext-col,people,death,4.0,count,primary
emdat-impact-2012-0019-BIH-total_affected,emdat-impacts,2012-02-02T00:00:00Z,Cold wave in Bosnia and Herzegovina - total_affected,BIH,nat-met-ext-col,people,affected_total,10347.0,count,primary
emdat-impact-2012-0019-BIH-no_affected,emdat-impacts,2012-02-02T00:00:00Z,Cold wave in Bosnia and Herzegovina - no_affected,BIH,nat-met-ext-col,people,affected_total,10347.0,count,primary
emdat-impact-2012-0050-TJK-total_deaths,emdat-impacts,2012-02-01T00:00:00Z,Severe winter conditions in Tajikistan - total_deaths,TJK,nat-met-ext-sev,people,death,1.0,count,primary
emdat-impact-2012-0019-LVA-total_deaths,emdat-impacts,2012-02-01T00:00:00Z,Cold wave in Latvia - total_deaths,LVA,nat-met-ext-col,people,death,10.0,count,primary
emdat-impact-2012-0019-HUN-total_deaths,emdat-impacts,2012-02-01T00:00:00Z,Cold wave in Hungary - total_deaths,HUN,nat-met-ext-col,people,death,16.0,count,primary
emdat-impact-2012-0019-EST-total_deaths,emdat-impacts,2012-02-01T00:00:00Z,Cold wave in Estonia - total_deaths,EST,nat-met-ext-col,people,death,1.0,count,primary
emdat-impact-2012-0019-MDA-total_deaths,emdat-impacts,2012-01-30T00:00:00Z,Cold wave in Republic of Moldova - total_deaths,MDA,nat-met-ext-col,people,death,10.0,count,primary
emdat-impact-2012-0019-MDA-total_affected,emdat-impacts,2012-01-30T00:00:00Z,Cold wave in Republic of Moldova - total_affected,MDA,nat-met-ext-col,people,affected_total,7374.0,count,primary
emdat-impact-2012-0019-MDA-no_affected,emdat-impacts,2012-01-30T00:00:00Z,Cold wave in Republic of Moldova - no_affected,MDA,nat-met-ext-col,people,affected_total,7374.0,count,primary
emdat-impact-2012-0019-SRB-total_deaths,emdat-impacts,2012-01-28T00:00:00Z,Cold wave in Serbia - total_deaths,SRB,nat-met-ext-col,people,death,10.0,count,primary
emdat-impact-2012-0019-SRB-total_affected,emdat-impacts,2012-01-28T00:00:00Z,Cold wave in Serbia - total_affected,SRB,nat-met-ext-col,people,affected_total,70000.0,count,primary
emdat-impact-2012-0019-SRB-no_affected,emdat-impacts,2012-01-28T00:00:00Z,Cold wave in Serbia - no_affected,SRB,nat-met-ext-col,people,affected_total,70000.0,count,primary
emdat-impact-2012-0019-UKR-total_deaths,emdat-impacts,2012-01-27T00:00:00Z,Cold wave in Ukraine - total_deaths,UKR,nat-met-ext-col,people,death,112.0,count,primary
emdat-impact-2012-0019-UKR-total_affected,emdat-impacts,2012-01-27T00:00:00Z,Cold wave in Ukraine - total_affected,UKR,nat-met-ext-col,people,affected_total,87500.0,count,primary
emdat-impact-2012-0019-UKR-no_injured,emdat-impacts,2012-01-27T00:00:00Z,Cold wave in Ukraine - no_injured,UKR,nat-met-ext-col,people,injured,2500.0,count,primary
emdat-impact-2012-0019-UKR-no_affected,emdat-impacts,2012-01-27T00:00:00Z,Cold wave in Ukraine - no_affected,UKR,nat-met-ext-col,people,affected_total,85000.0,count,primary
emdat-impact-2012-0019-POL-total_deaths,emdat-impacts,2012-01-27T00:00:00Z,Cold wave in Poland - total_deaths,POL,nat-met-ext-col,people,death,82.0,count,primary
emdat-impact-2012-0019-ROU-total_deaths,emdat-impacts,2012-01-23T00:00:00Z,Cold wave in Romania - total_deaths,ROU,nat-met-ext-col,people,death,86.0,count,primary
emdat-impact-2012-0019-ROU-total_affected,emdat-impacts,2012-01-23T00:00:00Z,Cold wave in Romania - total_affected,ROU,nat-met-ext-col,people,affected_total,7539.0,count,primary
emdat-impact-2012-0019-ROU-no_injured,emdat-impacts,2012-01-23T00:00:00Z,Cold wave in Romania - no_injured,ROU,nat-met-ext-col,people,injured,239.0,count,primary
emdat-impact-2012-0019-ROU-no_affected,emdat-impacts,2012-01-23T00:00:00Z,Cold wave in Romania - no_affected,ROU,nat-met-ext-col,people,affected_total,7300.0,count,primary
emdat-impact-2012-0012-SRB-total_deaths,emdat-impacts,2012-01-06T00:00:00Z,Severe winter conditions in Serbia - total_deaths,SRB,nat-met-ext-sev,people,death,9.0,count,primary
emdat-impact-2012-0012-SRB-total_affected,emdat-impacts,2012-01-06T00:00:00Z,Severe winter conditions in Serbia - total_affected,SRB,nat-met-ext-sev,people,affected_total,18234.0,count,primary
emdat-impact-2012-0012-SRB-no_affected,emdat-impacts,2012-01-06T00:00:00Z,Severe winter conditions in Serbia - no_affected,SRB,nat-met-ext-sev,people,affected_total,18234.0,count,primary
emdat-impact-2012-0019-SVK-total_deaths,emdat-impacts,2012-01-01T00:00:00Z,Cold wave in Slovakia - total_deaths,SVK,nat-met-ext-col,people,death,5.0,count,primary
emdat-impact-2012-0019-RUS-total_deaths,emdat-impacts,2012-01-01T00:00:00Z,Cold wave in Russian Federation - total_deaths,RUS,nat-met-ext-col,people,death,64.0,count,primary
emdat-impact-2012-0019-MKD-total_deaths,emdat-impacts,2012-01-01T00:00:00Z,Cold wave in North Macedonia - total_deaths,MKD,nat-met-ext-col,people,death,1.0,count,primary
emdat-impact-2012-0019-MKD-total_affected,emdat-impacts,2012-01-01T00:00:00Z,Cold wave in North Macedonia - total_affected,MKD,nat-met-ext-col,people,affected_total,5100.0,count,primary
emdat-impact-2012-0019-MKD-no_affected,emdat-impacts,2012-01-01T00:00:00Z,Cold wave in North Macedonia - no_affected,MKD,nat-met-ext-col,people,affected_total,5100.0,count,primary
emdat-impact-2012-0019-LTU-total_deaths,emdat-impacts,2012-01-01T00:00:00Z,Cold wave in Lithuania - total_deaths,LTU,nat-met-ext-col,people,death,24.0,count,primary
emdat-impact-2012-0019-BLR-total_affected,emdat-impacts,2012-01-01T00:00:00Z,Cold wave in Belarus - total_affected,BLR,nat-met-ext-col,people,affected_total,130.0,count,primary
emdat-impact-2012-0019-BLR-no_injured,emdat-impacts,2012-01-01T00:00:00Z,Cold wave in Belarus - no_injured,BLR,nat-met-ext-col,people,injured,30.0,count,primary
emdat-impact-2012-0019-BLR-no_affected,emdat-impacts,2012-01-01T00:00:00Z,Cold wave in Belarus - no_affected,BLR,nat-met-ext-col,people,affected_total,100.0,count,primary
emdat-impact-2012-0012-ALB-total_deaths,emdat-impacts,2012-01-01T00:00:00Z,Severe winter conditions in Albania - total_deaths,ALB,nat-met-ext-sev,people,death,5.0,count,primary
emdat-impact-2012-0012-ALB-total_affected,emdat-impacts,2012-01-01T00:00:00Z,Severe winter conditions in Albania - total_affected,ALB,nat-met-ext-sev,people,affected_total,230000.0,count,primary
